Nama|NPWP|Komite Audit Ketua|Nama Penerima|Komite Audit Anggota 2|Komite Audit Anggota 3|Komite Audit Anggota 4|Komite Audit Anggota 5|Direktur Utama|Direktur 1|Direktur 2|Direktur 3|Direktur 4|Direktur 5|Direktur 6|Direktur 7|Direktur 8|Direktur 9|Direktur 10|Direktur 11|Direktur 12|Direktur 13|Direktur 14|Komisaris Utama|Komisaris 1|Komisaris 2|Komisaris 3|Komisaris 4|Komisaris 5|Komisaris 6|Komisaris 7|Komisaris 8|Komisaris 9|Komisaris 10|Komisaris 11|Komisaris 12|Komisaris 13|Komisaris 14|Corporate Secretary|Established Date|Listing Date|Alamat|Phone|Fax|Homepage|Email|Pemilik Saham 1
PT Adhi Karya (Persero) Tbk.|010016103051000|Rustam Sofyan Sirait||Mardiannus Pramudya|Andi Nugroho Suryo Kuncoro|||Entus Asnawi Mukhson|Ki Syahgolang Permata|Bani Iqbal|A. Suko Widigdo|Harimawan|Vera Kirana|Yan Arianto|||||||||Dody Usodo Hargo|Elan Suherlan|R. Erwin Moeslimin Singajuru|Bob Arthur Lombogia|Rustam Sofyan Sirait|||||||||||Rozi Sparta||2004-03-18|Jalan Raya Pasar Minggu Km. 18 Jakarta 12510|021-7975312|021-7975311|www.adhi.co.id|adhi@adhi.co.id|PT Biro Klasifikasi Indonesia
Adira Dinamika Multi Finance Tbk|013464946091000|Manggi Taruna Habir||Jusuf Sukiman|Restiana Ie Tjoe Linggadjaya|||I Dewa Made Susila|Swandajani Gunadi|Niko Kurniawan Bonggowarsito|Harry Latif|Denny Riza Farib|Sigit Hendra Gunawan|Sylvanus Gani K. Mendrofa|Takanori Mizuno|Ricky Gunawan|||||||Daisuke Ejima|Krisna Wijaya|Manggi Taruna Habir|Congsin Congcar|Honggo Widjojo Kangmasto|||||||||||Veronika Dyah Puspitaningrum||2004-03-31|Millennium Centennial Center Lantai 53, 56-61, Jl. Jenderal Sudirman Kav. 25 Jakarta 12920|021-3973 3232, 021-3973 3322|021-3973 4949|www.adira.co.id|af.corsec@adira.co.id|PT Bank Danamon Indonesia Tbk
Polychem Indonesia Tbk|013260088092000|Ilham||Danny Kartadinata|Lina Wong|||Gautama Hartarto, MA|Gunawan Halim|Djunali Djuwati|Wiji Santoso||||||||||||Bacelius Ruru, SH|Johan Setiawan|Bambang Husodo|Ilham||||||||||||Yendrizal||1993-10-20|Gedung Wisma 46 Kota BNI LT.20 Jl Jend. Sudirman Kav 1 RT.010 RW. 009 Karet Tengsin Tanah Abang Kota Adm. Jakarta Pusat DKI Jakarta 10220|(62-21) 5744848|(62-21) 57945832-34|www.polychemindo.com|corporate@polychemindo.com|Provestment Limited
PT Adaro Minerals Indonesia Tbk|0026721639063000|Mohammad Effendi||Ignatius Robby Sani|Lindawati Gani|||Christian Ariano Rachmat|Totok Azhariyanto|Hendri Tamrin|Heri Gunawan|Wito Krisnahadi|||||||||||Garibaldi Thohir|Mohammad Syah Indra Aman|Julius Aslan|Lie Luckman|Mohammad Effendi|Budi Bowoleksono||||||||||Heri Gunawan||2022-01-03|Cyber 2 Tower Lantai 34, Jl. H.R. Rasuna Said Blok X-5, No.13 Jakarta Selatan 12950|(021) 2553 3060|(021) 2553 3059|www.adarominerals.id|corsec@adarominerals.id|PT Alamtri Resources Indonesia Tbk (dh.PT Adaro Energy Indonesia Tbk)
Alamtri Resources Indonesia Tbk|023992449091000|Mohammad Effendi||Ignatius Robby Sani|Lindawati Gani|||Garibaldi Thohir|Michael William P. Soeryadjaya|Mohammad Syah Indra Aman|Julius Aslan|Iwan Dewono Budiyuwono|||||||||||Edwin Soeryadjaya|Arini Saraswaty Subianto|Mohammad Effendi|Budi Bowoleksono||||||||||||Mahardika Putranto||2008-07-16|Menara Karya 23rd Floor Jl. H.R. Rasuna Said, Block X-5, Kav. 1-2 Jakarta 12950|021-25533000|021-5211266|www.adaro.com|mahardika.putranto@adaro.com ; aditya.sudjono@adaro.com|PT Adaro Strategic Investment
PT Anugerah Spareparts Sejahtera Tbk.|0739409134426000|Hendra, S.E., CPA||Wandira Ayu Lestari, S.Ak|Siti Khoirunnisa, S.Ak|||Oey Johan Sinatra Sumawi|Jeihan Sumawi Putra||||||||||||||dr. Josephat Suwanta Sinarya|Hendra||||||||||||||Jeihan Sumawi Putra||2023-09-11|Jalan Soekarno Hatta No. 134 Losari Kidul, Losari, Kabupaten Cirebon, Jawa Barat 45192|+62231831035||https://www.aegisfilter.co.id/|sales@aegisfilter.co.id|DR. JOSEPHAT SUWANTA SINARYA
PT Asia Sejahtera Mina Tbk|028813921036000|Gunawan Ruslim||Sarah Cahya Prawira|Octaviana Amanda|||Indra Widyadharma|Agnes Kristina||||||||||||||Francis Dayne Haryono|Thelly Rope||||||||||||||Agnes Kristina||2019-12-02|Dr. Makaliwe Raya No. 16B, RT.008, RW.004 Grogol Petamburan, Jakarta Barat|(021) 21192523|(021) 21192523|www.asiamina.com|admin@asiamina.com|PT Indo Kreasi Pratama
PT Samator Indo Gas Tbk|010021244038000|ROBIYANTO||SUTANTO|TJOKRO ALIWIDJAJA|||RACHMAT HARSONO|IMELDA MULYANI HARSONO|NINI LIEMIJANTO|BUDI SUSANTO|DJANARKO TJANDRA|OCTAVIANUS SANTOSO RASTANTO|ANDY PURWOHARDONO|||||||||HEYZER HARSONO|MICHAEL WILLIAM P. SOERYADJAYA|SUTANTO|ROBIYANTO|ATIFF IBRAHIM GILL|HANS-GERD WIENANDS||||||||||Imelda Mulyani Harsono||2016-09-28|Gedung UGM - Samator Pendidikan Tower A Lantai 5-6 Jl. Dr. Sahardjo No. 83, Manggarai Tebet, Jakarta Selatan 12850|021 - 83709111|021 - 83709911|www.anekagas.com|corsec@anekagas.com|PT Samator
PT Bank Raya Indonesia Tbk|013474283054000|Johanes Kuntjoro Adisardjono||Ari Setyo Wibowo|Sus Kiranawati Handayani|||Ida Bagus Ketut Subagia|Rustarti Suri Pertiwi|Lukman Hakim|Danar Widyantoro|Kicky Andrie Davetra|||||||||||Muhamad Sidik Heruwibowo|Retno Wahyuni Wijayanti|Johanes Kuntjoro Adisardjono|Nyimas Dewi Ratih Kamil||||||||||||Ajeng Putri Hapsari||2003-08-08|Menara BRILiaN Lt. 20 Jalan Gatot Subroto No. 177 A Kel. Menteng Dalam Kecamatan Tebet Jakarta Selatan DKI Jakarta|021-50931300|021-50931494|bankraya.co.id|humas@bankraya.co.id|PT. Bank Rakyat Indonesia (Persero) Tbk
PT Bank IBK Indonesia Tbk.|013118302073000|Damal Bayu Utama||Gaguk Hartadi|Dharmansyah Djalins|Joni Swastanto||Oh In Taek|Lee Dae Sung|Maria Cortilia Vera Afianti|Alexander Frans Rori|Edwin Rudianto|||||||||||Taufik Hakim|Damal Bayu Utama|Joni Swastanto|Ko Dae Jin||||||||||||Sri Suhartin||2014-12-22|Wisma GKBI Suite UG-01 Jl. Jend. Sudirman No. 28 Jakarta 10210 Indonesia|+62 21 5790 8888|+62 21 5790 6888|www.ibk.co.id|corsec@ibk.co.id|Industrial Bank of Korea
Asuransi Harta Aman Pratama Tbk|013609029054000|Pramono Margono||Sentot Margianto|Dian Yunita|||Yulianto Piettojo|Josef Gunawan Setyo|Indradi Prasodjo|Treesje Halim|Sutjianta|||||||||||Adhi Indrawan|Pramono Margono|Adi Purnomo Wijaya|||||||||||||Sutjianta||1990-09-14|Wisma 46 Kota BNI Lantai 33, Jl. Jend. Sudirman Kav. 1 Karet Tengsin Tanah Abang Jakarta Pusat 10220|5702060, 5746789 (hunting)|5727589|www.asuransi-harta.co.id|harta@asuransi-harta.co.id|PT ASURANSI CENTRAL ASIA
PT Artha Mahiya Investama Tbk|018200683054000|Ahmad Ali Fahmy,S.H||Levita Elvi Yana S.Tr.Keu|Priyandana|||Calvin Lutvi|Pandu Andakara|M. Adil Triansyah|||||||||||||Mohammad Rafil Perdana|Ahmad Ali Fahmi|Endru Adhikara|||||||||||||Anton Hidayat SE||2001-07-20|Jl. Cipaku 1 No. 3, RT/RW 002/004, Kel. Petogogan Kec. Kebayoran Baru, Jakarta Selatan DKI 12170|(021) 7221279|(021) 7392909|www.aimsinvestama.com|info@aimsinvestama.com|PT. Aims Indo Investama
PT FKS Food Sejahtera Tbk|015045131054000|Ir. R. Benny Wachjudi, MBA.||Rachmad|Komjen (Purn). Dr. Ito Sumardi DS, S.H., M.H., MBA., M.M.|||Gerry Mustika|Sukawati Wijaya||||||||||||||Lim Aun Seng|Grant Lutz|Komjen (Purn) Dr. Drs. H. Ito Sumardi D.S., S.H., M.H., M.M., M.B.A.|Ir. R. Benny Wachjudi, MBA||||||||||||Dimas Rahadian Suryoputro||1997-06-11|Menara Astra Lantai 29, Jalan Jend. Sudirman Kav 5-6, Karet Tengsin, Jakarta Pusat 10220|021 - 50889898|021 - 50889838|www.fksfs.co.id|corporate.secretary@fksfs.co.id|PT PANGAN SEJAHTERA INVESTAMA
PT Anugerah Kagum Karya Utama Tbk|020384251054000|||Yunita E.L. Ria Sihombing|Susanto Bunjamin|||I GEDE ARIESUNDA|Drs. IRWAN SURYADI||||||||||||||DHARMITHEA KIEMAS HAMIDY|WILHELMINA WIRIADISASTRA||||||||||||||Irwan Suryadi||2004-11-01|Grand Asia Afrika Residence, Commercial Area A-10, Jl. Karapitan No. 1, Paledang, Lengkong, Bandung, Jawa Barat 40261|022-2035013|022-2035013|kagumgroup.com|info@kagumgroup.com|Masyarakat Non Warkat
Argha Karya Prima Ind. Tbk|010008639054000|Johan Paulus Yoranouw||Benito Sutarna|Raymond Djaja Atmadja|||Wilson Pribadi|Jeyson Pribadi|Jimmy Tjahjanto|Elius Pribadi|Dendi Wiratama|||||||||||ANDRY PRIBADI|BRENNA FLORENCE PRIBADI|JOHAN PAULUS YORANOUW|WIDJOJO BUDIARTO|HENRY LIEM|AMIRSYAH RISJAD||||||||||Tjoe Mun Lie||1992-12-18|Gedung Prosperity Tower, Lantai 51, Kawasan District 8, SCBD Lot. 28, Jl. Jend. Sudirman Kav. 52-53, Senayan, Kebayoran Baru, Jakarta Selatan|021-8572707|021-87902024, 8764155|http://www.arghakarya.com|theo@arghakarya.com|PT Tiara Intimahkota
PT AKR Corporindo Tbk.|011329059092000|Mohamad Fauzi M. Ichsan||Sahat Pardede|Djisman Simandjuntak|||Haryanto Adikoesoemo|Jimmy Tandyo|Bambang Soetiono Soedijanto|Mery Sofi|Suresh Vembu|Nery Polim|Termurti Tiban|||||||||Soegiarto Adikoesoemo|Sofyan A. Djalil|Mohamad Fauzi Maulana Ichsan|||||||||||||Suresh Vembu||1994-10-03|AKR Tower Lt.26, Jl. Panjang No.5 Kebon Jeruk, Jakarta Barat 11530|(021) 531 1110|(021) 531 1185|www.akr.co.id|corporate.secretary@akr.co.id|PT Arthakencana Rayatama
PT Mineral Sumberdaya Mandiri Tbk|013491295054000|Marciano Hersondrie Herman||Arifin M.Sibarani SE|Norman Wijayadi|||Doddy Hermawan|Roni Tan|||||||||||||||Wisnu Wahyudin Pettalolo|Marciano Hersondrie Herman|Wisnu Wahyudin Pettalolo||||||||||||Roni Tan||2001-07-13|District 8, Treasury Tower Lantai 52 SCBD, Lot 28, Jl.Jenderal Sudirman Kav 52-53, RT 08 RW 06, Kel.Senayan, Kec.Kebayoran Baru, Jakarta Selatan 12190|021 50105669|-|www.msdm.co.id|roni@msdm.co.id|PT Batulicin Enam Sembilan Transportasi
Alkindo Naratama Tbk|016712424054000|MEIGI SONNATA WIDJAJA||RENI INDIAWATI|HELENA AUDRI HUGA GIANINA|||Herwanto Sutanto|Willy Soesanto|Kuswara|||||||||||||Lili Mulyadi Sutanto|Meigi Sonnata Widjaja||||||||||||||Kuswara||2011-07-12|Kawasan Industri Cimareme, Jl. Cimareme II No. 14, Padalarang, Bandung Barat 40553|(022) 601 1220, 602 8277|(022) 603 6489, 600 4508|www.alkindo.co.id|kuswara@alkindo.co.id|PT.GOLDEN ARISTA INTERNATIONAL
PT Ancara Logistics Indonesia Tbk|924237571018000|Agus Suharyono||Drs. Yoyok Hadi Satriyono|Pradeep Kilpady|||Faisal Mohamad Nur|Rahul Nalin Rathod|Vishal Manharlal Parekh|Munawir|Aulia|||||||||||Nalinkant Amratlal Rathod|Aninditha Anestya Bakrie|Agus Suharyono|||||||||||||Aulia||2024-02-07|Bakrie Tower Lantai 15, Komplek Rasuna Epicentrum Jalan HR. Rasuna Said, Desa/Kelurahan Karet Kuningan, Kec. Setiabudi, Kota Adm. Jakarta Selatan, DKI Jakarta|(021) 2994 1122|(021) 2991 2095|www.ancaralogistics.co.id|corsec@ancaralogistics.com|PT Graha Adika Niaga
Alakasa Industrindo Tbk|010001667054000|Antonius Wahyu Djatmiko||||||Sucipto Tanro|Maradona Parhorasan Manurung||||||||||||||Peng Tjoan|Suryadi Hertanto|Antonius Wahyu Djatmiko|||||||||||||Fendra Hartanto||1990-07-12|Jalan Pulo Gadung No. 4 Kawasan Industri Pulogadung Jakarta 13930|(021)460-88-55|(021)4603574; (021)4608856|0|corsec@ai.alakasa.co.id|PT. Gesit Perkasa
Alumindo Light Metal Industry Tbk|011225729092000|Drs. Supranoto Dipokusumo||Bambang Sukristiono|Yuma Romansyah|||Alim Markus|Alim Mulia Sastra|Alim Prakasa|Wibowo Suryadinata||||||||||||Welly Muliawan, Lie|Drs. Supranoto Dipokusumo||||||||||||||Wibowo Suryadinata||1997-01-02|Gedung Maspion Lt.7, Jl. Kembang Jepun 38-40, Surabaya 60162 Jawa Timur - Indonesia|+62-31-3531445, 3541040|+62-31-3533055, 3533218|www.alumindo.com|cs@alumindo.com|Husin Investama, PT
Tri Banyan Tirta Tbk|017613035054000|Iman Kushardiman||Imah Lastari|Marlina Susanty|||Huda Nardono|Abubakarsyah Boetje||||||||||||||Listiani Chandra Sekar|Iman Kushardiman||||||||||||||Huda Nardono||2012-07-10|Kp. Pasir Dalem RT.002 RW.002 Desa Babakan pari, Kecamatan Cidahu Kabupaten Sukabumi, Jawa Barat 43158|(0266) 735 813 dan (021) 5300 689|(0266) 731 319 dan (021) 5301 620|www.ALTOspringswater.com|corsec@ALTOspringswater.com|PT Fikasa Bintang Cemerlang
Asuransi Multi Artha Guna Tbk|011081650054000|Lukman Abdullah||V.D. Wenty Anggraini|Theodora Nani Alamsyah|||Pankaj Oberoi|Dinesh Ramu|Peggy Wystan|||||||||||||Athappan Gobinath Arvind|Lukman Abdullah|Dr. H. Firdaus Djaelani, MA|||||||||||||Israeni Miradani S.||2005-12-23|The City Center Batavia Tower One Lantai 17 Jalan KH Mas Mansyur Kav. 126 Jakarta Pusat 10220|(021) 2700590|(021) 7250223|www.mag.co.id|israeni@mag.co.id|FAIRFAX ASIA LIMITED
PT Makmur Berkah Amanda Tbk.|024801979617001|Djoko Sartono, SH, M.Si||Drs. Frans H. P. Iskandar|Hilda Tjahjani Iskandar, SE. AK|||Adi Saputra Tedja Surya|Richard B. T. Malessy||||||||||||||Johan Tedja Surya|Siauw Jennice Maria|Madsuki Baidlowi|Achmad Zaini||||||||||||Marcos Iwan||2020-03-13|APL Tower Unit OT/35/T5 Podomoro City, Jl. S. Parman Kav. 28, Tanjung Duren Selatan, Grogol Petamburan, Jakarta Barat 11470, Indonesia|(62-21) 2119 2888|(62-21) 2119 1008|mbagroup.id|info@mbagroup.id|PT Griya Prima Amanda
PT Bank Amar Indonesia Tbk.|015269053619000|Ratna Heimawaty Zain||Haifan Yahya|Simon Hariyanto|||Vishal Tulsian|B. Budijanto Jahja|R. Eka Banyuaji|||||||||||||Navin Nahata|Ir. Zainal Abidin Hasni MA|Ratna Heimawaty Zain|||||||||||||Elsa Enda Dwita Purba||2020-01-09|Jl. Basuki Rahmad No. 109, Surabaya, 60271|(031) 99015959|(031) 9901595|www.amarbank.co.id|corsec@amarbank.co.id|Tolaram Pte. Ltd.
Asahimas Flat Glass Tbk|010001618092000|Irawan Soerodjo, SH||Rusli Pranadi SE, Ak.|Friso Palilingan, SE, Ak.|||MAMPEI CHIYODA|YO NAKAHARA|TAKASHI NEKODA|BAMBANG WIDYAWARDHANA MAULANA|KAZUHIRO ONOGAWA|CHRISTOFORUS|SAMUEL NUGROHO SETYONO|KIICHIRO YOSHIZAWA|TEGUH ARI WIDODO|KAZUO NINOMIYA||||||TAN PEI LING|EMANUEL DAVID SATRIA SOETEDJA|HIROYUKI OTANI|IRAWAN SOERODJO|KIMIKAZU ICHIKAWA|||||||||||Christoforus||1995-11-08|Jl. Ancol IX/5, Ancol Barat, Ancol-Pademangan Jakarta Utara-DKI Jakarta Raya 14430|(021) 6904041 ext 1042|021-6919245, 6918820|www.amfg.co.id|adimulya.sukmana@agc.com|AGC Inc.
PT Ateliers Mecaniques D Indonesie Tbk.|010018075055000|Daulat Sihombing||Wesly Simanjuntak|Dompak Pasaribu|||Rudy Susanto|Lai Kien Hsin|Linda Taty|Chong Kim Kong||||||||||||Juliani|Daulat Sihombing||||||||||||||Pieter Simanjuntak||2015-12-10|Jalan Sei Belumai Km. 2,4 No. 30-38 Desa Dagang Kelambir - Tanjung Marowa Deli Serdang - Sumatera Utara|(061) 794 7751|(061) 794 7755|www.atmindoboiler.com|corsec@atmindo.co.id|Sphere Corporation, SDN, BHD
PT Amman Mineral Internasional Tbk.|741472047067000|Teguh Boentoro||Devan Peterendy Cesario|Mulyono|||Alexander Ramlie|Arief Widyawan Sidarto|David Alexander Gibbs|Irwin Ka Pui Wan|Lal Naveen Chandra|||||||||||Agoes Projosasmito|Markus Permadi|Teguh Boentoro|M. Teguh Pamuji||||||||||||Vemmy Febrianti||2023-07-07|Gedung Menara Karya Lantai 6 Unit A, B, C dan H Jl. H.R. Rasuna Said Blok X-5 Kav. 1-2 Jakarta Selatan 12950|021 5799 4600|021 576 1464|www.amman.co.id|investor.relations@amman.co.id|PT Sumber Gemilang Persada
PT Agung Menjangan Mas Tbk|026042408018000|Prof. Dr. Ir. H. Rokhimin Dahuri, MSC||Andryan Esra Sembiring M.Ak.,CA.,CPA|Mindo Jeksen Siahaan SE., CPA., BKP|||Hartono Limmantoro|Sulaiman||||||||||||||Chan Pik Yan|Ny. Arie Yuriwin, S.H., M.SI.||||||||||||||Gabriela Batti||2022-08-04|Generali Tower Grand Rubina Business Park Lt.20 C Jl. H.R. Rasuna Said, Kuningan, Jakarta Selatan 12940|(021)-29023178|021-29023180|www.agungmm.com|corsec@agungmm.com|PT Mandara Mas Semesta
PT Sumber Alfaria Trijaya Tbk.|0013362389054000|Drs. Setyo Wasisto,SH.||Juninho Widjaja|Edwin Sutanto|||Anggara Hans Prawira|Bambang Setyawan Djojo|Tomin Widian|Harryanto Susanto|Solihin|Soeng Peter Suryadi||||||||||Feny Djoko Susanto|Budiyanto Djoko Susanto|Komjen. Pol.(Purn) Drs. Setyo Wasisto, S.H.|Budi Setiyadi||||||||||||Tomin Widian||2009-01-15|Jl. Jalur Sutera Barat Kav. 9, Alam Sutera, Kota Tangerang, Prov. Banten|021-80821555|021-80821556|www.alfamart.co.id|corsec@sat.co.id / investor_relations@sat.co.id|PT SIGMANTARA ALFINDO
PT Andira Agro Tbk|016835530072000|Sugino Sutrisno||Wilson|Dhanny Cahyadi|||Francis Indarto|Kahar Anwar||||||||||||||Ludijanto Setijo|Andre Handhika Tessaputra The|Anne Patricia Sutanto|||||||||||||Radytia Nathanael||2018-08-16|Meta Epsi Building Jl. Mayjen D.I. Panjaitan Kav. 2, Jakarta Timur 13350, Indonesia|0218564955|0218564956|www.andiraagro.com|corpsec@andiraagro.com|PT CENTRAL ENERGI PRATAMA
PT Austindo Nusantara Jaya Tbk.|016260812054000|Dr. Sofyan A. Djalil S.H., M.A., MALD||Drs. Janto Tatno Moeljono|Martono, CPA|||Suhendro|Isen Henry Tjong|Hilman Lukito|||||||||||||Harianto Tanamoeljono|Dr. Sofyan Abdul Djalil, S.H.,M.A||||||||||||||Hilman Lukito||2013-05-08|Menara BTPN Lantai 40 Jalan Dr. Ide Anak Agung Gde Agung Kav. 5.5 - 5.6 Kawasan Mega Kuningan, Jakarta Selatan.|(62-21) 2965 1777|(62-21) 2965 1788|www.anj-group.com|corsec@anj-group.com|PT Memimpin Dengan Nurani
Aneka Tambang Tbk.|0010016632051000|Prof. Dr. der Soz. Gumilar Rusliwa Somantri||Ir. Anang Sri Kusuwardono|Dr. Vera Diyanty, C.A., CACP|Sahid Junaidi, S.Kom, M.M.||Nicolas D. Kanter|Hartono|I Dewa Bagus Wirantaya|Arianto Sabtonugroho|Achmad Ardianto|||||||||||Rauf Purnama|Gumilar Rusliwa Somantri|Anang Sri Kusuwardono|Bambang Sunarwibowo|Dilo Seno Widagdo|||||||||||Syarif Faisal Alkadrie||1997-11-27|Gedung Aneka Tambang, Jl. Letjen T.B. Simatupang No. 1 Jakarta 12530|021-7805119; 021-7891234 ; 021-7812635|021-7812822|http://www.antam.com/|corsec@antam.com|PT MINERAL INDUSTRI INDONESIA (PERSERO)
